image_id,assigned_rule_id,primary_class,verdict,is_multi_rule_violation,quality_of_info,top_region_source,worker_lost_in_top1_mask
0000007,rule_1,ppe_violation,explanation_weak,True,poor info,model,False
0000022,rule_3,compliant,explanation_weak,False,rich info,model,True
0000023,rule_1,compliant,explanation_weak,False,rich info,model,False
0000034,rule_2,compliant,explanation_weak,False,poor info,model,False
0000037,rule_1,compliant,explanation_supported,False,rich info,model,False
0000057,rule_1,compliant,explanation_weak,False,rich info,model,False
0000069,rule_1,compliant,explanation_supported,False,rich info,model,False
0000074,rule_2,compliant,explanation_weak,False,rich info,model,False
0000079,rule_3,fall_hazard,explanation_weak,False,rich info,model,False
0000081,rule_3,compliant,explanation_weak,False,poor info,model,False
0000102,rule_1,ppe_violation,explanation_weak,False,rich info,model,False
0000116,rule_1,ppe_violation,explanation_weak,False,rich info,model,False
0000117,rule_3,fall_hazard,explanation_weak,False,rich info,model,False
0000120,rule_4,struck_by_risk,explanation_supported,False,rich info,model,False
0000124,rule_2,compliant,explanation_supported,False,poor info,model,False
0000129,rule_1,compliant,explanation_weak,False,poor info,model,False
0000149,rule_2,fall_hazard,explanation_weak,False,poor info,model,True
0000183,rule_1,compliant,explanation_supported,False,rich info,model,False
0000203,rule_3,fall_hazard,explanation_supported,False,rich info,model,False
0000204,rule_1,compliant,explanation_weak,False,poor info,model,False
0000205,rule_4,compliant,explanation_supported,False,poor info,model,False
0000229,rule_1,ppe_violation,explanation_weak,False,rich info,model,False
0000233,rule_1,ppe_violation,explanation_supported,False,rich info,model,False
0000253,rule_3,fall_hazard,no_usable_explanation,False,rich info,grid,
0000254,rule_3,compliant,explanation_weak,False,rich info,model,False
0000280,rule_2,compliant,explanation_weak,False,poor info,model,True
0000288,rule_2,compliant,explanation_weak,False,poor info,model,False
0000325,rule_4,compliant,explanation_weak,False,rich info,model,False
0000327,rule_4,struck_by_risk,explanation_weak,False,poor info,model,False
0000331,rule_4,struck_by_risk,explanation_weak,False,poor info,model,False
0000332,rule_2,fall_hazard,explanation_weak,False,poor info,model,False
0000341,rule_3,compliant,explanation_weak,False,poor info,model,True
0000361,rule_3,fall_hazard,no_usable_explanation,False,poor info,grid,
0000370,rule_3,fall_hazard,explanation_supported,False,rich info,model,False
0000376,rule_3,fall_hazard,explanation_supported,False,poor info,model,False
0000413,rule_2,compliant,explanation_supported,False,rich info,model,False
0000421,rule_3,fall_hazard,explanation_weak,True,poor info,model,False
0000433,rule_4,compliant,explanation_weak,False,poor info,model,False
0000437,rule_1,ppe_violation,explanation_weak,True,poor info,model,False
0000444,rule_2,compliant,explanation_weak,False,poor info,model,True
0000468,rule_3,fall_hazard,explanation_weak,False,rich info,model,False
0000469,rule_1,ppe_violation,explanation_weak,False,poor info,model,False
0000471,rule_4,compliant,explanation_weak,False,poor info,model,False
0000478,rule_3,fall_hazard,explanation_supported,False,rich info,model,False
0000486,rule_4,compliant,explanation_weak,False,poor info,model,False
0000490,rule_4,struck_by_risk,explanation_weak,False,rich info,model,False
0000503,rule_3,compliant,explanation_weak,False,poor info,model,False
0000514,rule_1,compliant,explanation_weak,False,poor info,model,False
0000530,rule_4,compliant,explanation_weak,False,poor info,model,False
0000545,rule_1,ppe_violation,explanation_weak,False,rich info,model,False
0000550,rule_3,fall_hazard,explanation_supported,False,poor info,model,False
0000551,rule_4,compliant,explanation_weak,False,rich info,model,False
0000559,rule_4,compliant,explanation_supported,False,poor info,model,False
0000568,rule_1,compliant,explanation_weak,False,rich info,model,False
0000606,rule_3,fall_hazard,explanation_weak,False,rich info,model,False
0000613,rule_4,compliant,explanation_supported,False,poor info,model,False
0000620,rule_2,compliant,no_usable_explanation,False,rich info,grid,
0000623,rule_1,ppe_violation,explanation_weak,False,rich info,model,False
0000625,rule_3,compliant,explanation_supported,False,rich info,model,False
0000626,rule_3,fall_hazard,explanation_supported,False,rich info,model,False
