image_id,assigned_rule_id,n_regions,top_region_source,top_region_label,top_region_box
0000007,rule_1,2,model,worker,"[967.6800537109375, 226.55999755859375, 1494.01611328125, 1427.7120361328125]"
0000022,rule_3,4,model,guardrail,"[0.45350000262260437, 0.3824999928474426, 778.6594848632812, 763.8524780273438]"
0000023,rule_1,1,model,hard hat,"[601.800048828125, 298.3500061035156, 617.4000244140625, 311.8500061035156]"
0000034,rule_2,2,model,worker,"[430.5, 275.625, 516.5, 453.375]"
0000037,rule_1,2,model,worker,"[682.2000122070312, 397.3499755859375, 802.2000122070312, 680.8499755859375]"
0000057,rule_1,4,model,worker,"[109.80000305175781, 373.9499816894531, 166.20001220703125, 451.3499755859375]"
0000069,rule_1,2,model,worker,"[323.1999816894531, 628.3200073242188, 385.91998291015625, 800.1599731445312]"
0000074,rule_2,2,model,worker,"[405.0000305175781, 724.949951171875, 439.8000183105469, 796.0499877929688]"
0000079,rule_3,2,model,guardrail,"[0.6000000238418579, 456.75, 1198.2000732421875, 676.3499755859375]"
0000081,rule_3,2,model,guardrail,"[0.6000000238418579, 403.6499938964844, 1198.2000732421875, 898.6499633789062]"
0000102,rule_1,2,model,worker,"[201.00001525878906, 562.0499877929688, 277.8000183105469, 705.1499633789062]"
0000116,rule_1,2,model,worker,"[157.44000244140625, 531.4560546875, 939.2640380859375, 1434.6240234375]"
0000117,rule_3,3,model,guardrail,"[0.47999998927116394, 534.3999633789062, 958.5599975585938, 1278.0799560546875]"
0000120,rule_4,2,model,excavator,"[69.0, 359.54998779296875, 390.6000061035156, 606.1499633789062]"
0000124,rule_2,2,model,worker,"[769.800048828125, 343.3500061035156, 1163.4000244140625, 514.3499755859375]"
0000129,rule_1,2,model,worker,"[64.3499984741211, 354.6000061035156, 486.4499816894531, 750.6000366210938]"
0000149,rule_2,2,model,worker,"[685.3890380859375, 446.37750244140625, 802.2630004882812, 606.2625122070312]"
0000183,rule_1,2,model,worker,"[637.800048828125, 315.4499816894531, 664.2000122070312, 357.75]"
0000203,rule_3,2,model,guardrail,"[0.6000000238418579, 447.75, 515.4000244140625, 529.6499633789062]"
0000204,rule_1,2,model,hard hat,"[0.44999998807907104, 523.800048828125, 859.949951171875, 1068.60009765625]"
0000205,rule_4,2,model,excavator,"[15.75, 429.0000305175781, 898.6499633789062, 1198.2000732421875]"
0000229,rule_1,2,model,worker,"[552.6000366210938, 265.6125183105469, 616.2000122070312, 410.0625]"
0000233,rule_1,2,model,worker,"[813.0000610351562, 380.25, 894.6000366210938, 578.25]"
0000253,rule_3,16,grid,grid,"[0.0, 0.0, 240.0, 320.0]"
0000254,rule_3,2,model,guardrail,"[155.40000915527344, 483.75, 1198.2000732421875, 898.6499633789062]"
0000280,rule_2,2,model,harness,"[41.400001525878906, 357.75, 1098.60009765625, 666.4500122070312]"
0000288,rule_2,2,model,worker,"[465.0000305175781, 471.1499938964844, 864.6000366210938, 759.1499633789062]"
0000325,rule_4,2,model,excavator,"[261.0, 589.9500122070312, 511.8000183105469, 791.5499877929688]"
0000327,rule_4,2,model,excavator,"[72.34749603271484, 274.20001220703125, 478.8394775390625, 781.800048828125]"
0000331,rule_4,2,model,excavator,"[25.649999618530273, 339.0, 564.75, 784.2000122070312]"
0000332,rule_2,2,model,worker,"[579.0, 256.9499816894531, 683.4000244140625, 477.4499816894531]"
0000341,rule_3,2,model,guardrail,"[148.20001220703125, 343.3500061035156, 1025.4000244140625, 831.1499633789062]"
0000361,rule_3,16,grid,grid,"[0.0, 0.0, 223.5, 228.0]"
0000370,rule_3,2,model,guardrail,"[0.6399999856948853, 570.719970703125, 429.44000244140625, 958.5599975585938]"
0000376,rule_3,2,model,guardrail,"[0.44999998807907104, 363.0, 341.54998779296875, 736.2000122070312]"
0000413,rule_2,2,model,harness,"[79.80000305175781, 94.94999694824219, 612.6000366210938, 898.6499633789062]"
0000421,rule_3,2,model,guardrail,"[0.47999998927116394, 478.0799865722656, 262.55999755859375, 992.6399536132812]"
0000433,rule_4,2,model,excavator,"[443.4000244140625, 49.94999694824219, 765.0, 711.449951171875]"
0000437,rule_1,2,model,worker,"[309.0, 386.54998779296875, 358.20001220703125, 514.3499755859375]"
0000444,rule_2,2,model,harness,"[36.60000228881836, 81.44999694824219, 973.800048828125, 694.3499755859375]"
0000468,rule_3,2,model,guardrail,"[0.6000000238418579, 417.1499938964844, 556.2000122070312, 701.5499877929688]"
0000469,rule_1,4,model,worker,"[453.1499938964844, 225.00001525878906, 562.0499877929688, 538.2000122070312]"
0000471,rule_4,2,model,excavator,"[178.20001220703125, 109.3499984741211, 1119.0, 898.6499633789062]"
0000478,rule_3,2,model,guardrail,"[0.6000000238418579, 250.64999389648438, 707.4000244140625, 684.4500122070312]"
0000486,rule_4,2,model,worker,"[0.44999998807907104, 0.6000000238418579, 898.6499633789062, 1198.2000732421875]"
0000490,rule_4,2,model,excavator,"[401.4000244140625, 444.1499938964844, 825.0000610351562, 740.25]"
0000503,rule_3,2,model,worker,"[129.0, 212.84999084472656, 796.2000122070312, 580.0499877929688]"
0000514,rule_1,2,model,worker,"[185.40000915527344, 201.14999389648438, 435.0000305175781, 606.1499633789062]"
0000530,rule_4,2,model,excavator,"[737.5, 620.5, 850.5, 747.5]"
0000545,rule_1,2,model,worker,"[693.0, 516.1499633789062, 987.0000610351562, 898.6499633789062]"
0000550,rule_3,2,model,guardrail,"[0.6000000238418579, 526.0499877929688, 221.40000915527344, 898.6499633789062]"
0000551,rule_4,1,model,excavator,"[325.3500061035156, 0.36000001430511475, 486.27001953125, 542.52001953125]"
0000559,rule_4,2,model,excavator,"[154.34999084472656, 371.4000244140625, 561.1499633789062, 761.4000244140625]"
0000568,rule_1,2,model,worker,"[421.3760070800781, 144.0, 537.0880126953125, 475.00799560546875]"
0000606,rule_3,2,model,guardrail,"[0.6000000238418579, 292.04998779296875, 610.2000122070312, 898.6499633789062]"
0000613,rule_4,1,model,excavator,"[335.4000244140625, 190.34999084472656, 701.4000244140625, 565.6499633789062]"
0000620,rule_2,16,grid,grid,"[0.0, 0.0, 270.0, 360.0]"
0000623,rule_1,2,model,worker,"[423.03997802734375, 128.16000366210938, 723.8399658203125, 482.3999938964844]"
0000625,rule_3,2,model,guardrail,"[0.9599999785423279, 0.5400000214576721, 1917.1199951171875, 1078.3800048828125]"
0000626,rule_3,2,model,guardrail,"[0.6000000238418579, 250.64999389648438, 353.4000244140625, 445.9499816894531]"
0000632,rule_3,2,model,guardrail,"[0.6000000238418579, 482.8000183105469, 1198.2000732421875, 798.7999877929688]"
0000641,rule_1,2,model,worker,"[177.0, 212.28750610351562, 388.20001220703125, 673.9874877929688]"
