image_id,assigned_rule_id,n_regions,top_region_source,top_region_label,top_region_box
0000007,rule_1,2,model,hard hat,"[982.0160522460938, 225.0240020751953, 1199.10400390625, 406.2720031738281]"
0000022,rule_3,4,model,guardrail,"[0.45350000262260437, 0.3824999928474426, 778.6594848632812, 763.8524780273438]"
0000023,rule_1,1,model,hard hat,"[601.800048828125, 298.3500061035156, 617.4000244140625, 311.8500061035156]"
0000034,rule_2,2,model,harness,"[489.5, 330.375, 519.5, 406.875]"
0000037,rule_1,2,model,hard hat,"[1182.60009765625, 5.849999904632568, 1198.2000732421875, 31.94999885559082]"
0000057,rule_1,4,model,hard hat,"[118.20000457763672, 374.8499755859375, 144.60000610351562, 396.4499816894531]"
0000069,rule_1,2,model,hard hat,"[506.239990234375, 539.0399780273438, 538.239990234375, 566.8800048828125]"
0000074,rule_2,2,model,harness,"[406.20001220703125, 725.8499755859375, 437.4000244140625, 789.75]"
0000079,rule_3,2,model,guardrail,"[0.6000000238418579, 456.75, 1198.2000732421875, 676.3499755859375]"
0000081,rule_3,2,model,guardrail,"[0.6000000238418579, 403.6499938964844, 1198.2000732421875, 898.6499633789062]"
0000102,rule_1,2,model,hard hat,"[225.00001525878906, 562.9500122070312, 256.20001220703125, 588.1499633789062]"
0000116,rule_1,2,model,hard hat,"[561.4080200195312, 529.4080200195312, 704.2559814453125, 656.384033203125]"
0000117,rule_3,3,model,guardrail,"[0.47999998927116394, 534.3999633789062, 958.5599975585938, 1278.0799560546875]"
0000120,rule_4,2,model,excavator,"[69.0, 359.54998779296875, 390.6000061035156, 606.1499633789062]"
0000124,rule_2,2,model,harness,"[355.8000183105469, 355.04998779296875, 552.6000366210938, 490.9499816894531]"
0000129,rule_1,2,model,hard hat,"[706.0499877929688, 654.6000366210938, 724.949951171875, 667.800048828125]"
0000149,rule_2,2,model,harness,"[696.260986328125, 486.1575012207031, 766.9290161132812, 571.8374633789062]"
0000183,rule_1,2,model,hard hat,"[886.2000122070312, 329.8500061035156, 898.2000122070312, 337.9499816894531]"
0000203,rule_3,2,model,guardrail,"[0.6000000238418579, 447.75, 515.4000244140625, 529.6499633789062]"
0000204,rule_1,2,model,hard hat,"[0.44999998807907104, 523.800048828125, 859.949951171875, 1068.60009765625]"
0000205,rule_4,2,model,excavator,"[15.75, 429.0000305175781, 898.6499633789062, 1198.2000732421875]"
0000229,rule_1,2,model,hard hat,"[570.6000366210938, 267.63751220703125, 591.0, 285.1875]"
0000233,rule_1,2,model,hard hat,"[130.20001220703125, 403.6499938964844, 144.60000610351562, 416.25]"
0000253,rule_3,16,grid,grid,"[0.0, 0.0, 240.0, 320.0]"
0000254,rule_3,2,model,guardrail,"[155.40000915527344, 483.75, 1198.2000732421875, 898.6499633789062]"
0000280,rule_2,2,model,harness,"[41.400001525878906, 357.75, 1098.60009765625, 666.4500122070312]"
0000288,rule_2,2,model,harness,"[466.20001220703125, 472.04998779296875, 864.6000366210938, 759.1499633789062]"
0000325,rule_4,2,model,excavator,"[261.0, 589.9500122070312, 511.8000183105469, 791.5499877929688]"
0000327,rule_4,2,model,excavator,"[72.34749603271484, 274.20001220703125, 478.8394775390625, 781.800048828125]"
0000331,rule_4,2,model,excavator,"[25.649999618530273, 339.0, 564.75, 784.2000122070312]"
0000332,rule_2,2,model,harness,"[594.6000366210938, 382.04998779296875, 673.800048828125, 433.3499755859375]"
0000341,rule_3,2,model,guardrail,"[148.20001220703125, 343.3500061035156, 1025.4000244140625, 831.1499633789062]"
0000361,rule_3,16,grid,grid,"[0.0, 0.0, 223.5, 228.0]"
0000370,rule_3,2,model,guardrail,"[0.6399999856948853, 570.719970703125, 429.44000244140625, 958.5599975585938]"
0000376,rule_3,2,model,guardrail,"[0.44999998807907104, 363.0, 341.54998779296875, 736.2000122070312]"
0000413,rule_2,2,model,harness,"[79.80000305175781, 94.94999694824219, 612.6000366210938, 898.6499633789062]"
0000421,rule_3,2,model,guardrail,"[0.47999998927116394, 478.0799865722656, 262.55999755859375, 992.6399536132812]"
0000433,rule_4,2,model,excavator,"[443.4000244140625, 49.94999694824219, 765.0, 711.449951171875]"
