image_id,baseline_answer,patched_answer,flipped_to_compliant
0000007,compliant,compliant,False
0000102,compliant,violation,False
0000116,compliant,compliant,False
0000229,compliant,violation,False
0000233,violation,compliant,True
0000437,compliant,compliant,False
0000469,compliant,compliant,False
0000545,compliant,violation,False
0000623,compliant,compliant,False
0000641,violation,violation,False
0000766,compliant,compliant,False
0001077,compliant,compliant,False
0001117,compliant,compliant,False
0001151,compliant,violation,False
0001431,violation,compliant,True
0001460,compliant,violation,False
0001470,compliant,compliant,False
0001804,compliant,compliant,False
0001842,violation,compliant,True
0001982,compliant,violation,False
