image_id,assigned_rule_id,primary_class,verdict_raw,verdict_corrected
0000007,rule_1,ppe_violation,explanation_weak,explanation_weak
0000022,rule_3,compliant,explanation_weak,explanation_weak
0000023,rule_1,compliant,explanation_weak,explanation_weak
0000034,rule_2,compliant,explanation_weak,explanation_weak
0000037,rule_1,compliant,explanation_supported,explanation_supported
0000057,rule_1,compliant,explanation_supported,explanation_supported
0000069,rule_1,compliant,explanation_supported,explanation_supported
0000074,rule_2,compliant,explanation_weak,explanation_weak
0000079,rule_3,fall_hazard,explanation_weak,explanation_weak
0000081,rule_3,compliant,explanation_weak,explanation_weak
0000102,rule_1,ppe_violation,explanation_weak,explanation_weak
0000116,rule_1,ppe_violation,explanation_weak,explanation_weak
0000117,rule_3,fall_hazard,explanation_weak,explanation_weak
0000120,rule_4,struck_by_risk,explanation_supported,explanation_supported
0000124,rule_2,compliant,explanation_supported,explanation_supported
0000129,rule_1,compliant,explanation_weak,explanation_weak
0000149,rule_2,fall_hazard,explanation_weak,explanation_weak
0000183,rule_1,compliant,explanation_supported,explanation_supported
0000203,rule_3,fall_hazard,explanation_supported,explanation_supported
0000204,rule_1,compliant,explanation_weak,explanation_weak
0000205,rule_4,compliant,explanation_supported,explanation_supported
0000229,rule_1,ppe_violation,explanation_supported,explanation_supported
0000233,rule_1,ppe_violation,explanation_supported,explanation_supported
0000253,rule_3,fall_hazard,no_usable_explanation,no_usable_explanation
0000254,rule_3,compliant,explanation_weak,explanation_weak
0000280,rule_2,compliant,explanation_weak,explanation_weak
0000288,rule_2,compliant,explanation_weak,explanation_weak
0000325,rule_4,compliant,explanation_weak,explanation_weak
0000327,rule_4,struck_by_risk,explanation_weak,explanation_weak
0000331,rule_4,struck_by_risk,explanation_weak,explanation_weak
0000332,rule_2,fall_hazard,explanation_weak,explanation_weak
0000341,rule_3,compliant,explanation_weak,explanation_weak
0000361,rule_3,fall_hazard,no_usable_explanation,no_usable_explanation
0000370,rule_3,fall_hazard,explanation_supported,explanation_supported
0000376,rule_3,fall_hazard,explanation_supported,explanation_supported
0000413,rule_2,compliant,explanation_supported,explanation_supported
0000421,rule_3,fall_hazard,explanation_weak,explanation_weak
0000433,rule_4,compliant,explanation_weak,explanation_weak
0000437,rule_1,ppe_violation,explanation_weak,explanation_weak
0000444,rule_2,compliant,explanation_weak,explanation_weak
0000468,rule_3,fall_hazard,explanation_weak,explanation_weak
0000469,rule_1,ppe_violation,explanation_weak,explanation_weak
0000471,rule_4,compliant,explanation_weak,explanation_weak
0000478,rule_3,fall_hazard,explanation_supported,explanation_supported
0000486,rule_4,compliant,explanation_weak,explanation_weak
0000490,rule_4,struck_by_risk,explanation_weak,explanation_weak
0000503,rule_3,compliant,explanation_weak,explanation_weak
0000514,rule_1,compliant,explanation_supported,explanation_supported
