image_id,assigned_rule_id,primary_class,attributed_phrase,n_generated_tokens,topk5_mass_ratio,topk20_mass_ratio,regions_above_0.5,excluded_reason
0000007,rule_1,ppe_violation,worker,7,0.08549590373244406,0.20319638848646643,1.0,
0000022,rule_3,compliant,guardrail,16,0.06255379478588072,0.20285917357183375,19.0,
0000023,rule_1,compliant,hard hat,8,0.24862632840332566,0.39721430523684,2.0,
0000034,rule_2,compliant,worker,7,0.09914506342477286,0.23523723951606934,4.0,
0000037,rule_1,compliant,worker,7,0.08781860209183374,0.22118290546946895,3.0,
0000057,rule_1,compliant,worker,7,0.1328690549396777,0.3051287253726235,1.0,
0000069,rule_1,compliant,worker,7,0.0960425922586083,0.2433090200219878,8.0,
0000074,rule_2,compliant,worker,7,0.12334371028915107,0.2752338654919549,3.0,
0000079,rule_3,fall_hazard,guardrail,8,0.05808078848671762,0.15791557927833358,3.0,
0000081,rule_3,compliant,guardrail,8,0.08785756707498221,0.21923756233131822,9.0,
0000102,rule_1,ppe_violation,worker,7,0.12453289194788394,0.3147470894915573,9.0,
0000116,rule_1,ppe_violation,worker,7,0.07454252161128871,0.17958139209695698,9.0,
0000117,rule_3,fall_hazard,guardrail,12,0.0852083451276583,0.23076810871928582,2.0,
0000120,rule_4,struck_by_risk,excavator,9,0.07329977113110171,0.210742474201812,13.0,
0000124,rule_2,compliant,worker,7,0.06118837664315252,0.17911301987554698,15.0,
0000129,rule_1,compliant,worker,7,0.05659522956148112,0.15427124119130864,13.0,
0000149,rule_2,fall_hazard,worker,7,0.08741954914991432,0.22813062864213854,4.0,
0000183,rule_1,compliant,worker,7,0.13833670381456467,0.29205271419682016,1.0,
0000203,rule_3,fall_hazard,guardrail,8,0.12857485115895315,0.2964269105770927,9.0,
0000204,rule_1,compliant,hard hat,8,0.06680746092459895,0.17281670817692124,6.0,
0000205,rule_4,compliant,excavator,9,0.04291955927489182,0.14047025972130783,44.0,
0000229,rule_1,ppe_violation,worker,7,0.09638065498664591,0.2483537848646521,8.0,
0000233,rule_1,ppe_violation,worker,7,0.10215442478341889,0.2260013491414871,4.0,
0000253,rule_3,fall_hazard,,0,,,,grid_fallback_no_box
0000254,rule_3,compliant,guardrail,8,0.080844572550736,0.2337381444107754,3.0,
0000280,rule_2,compliant,safety harness,8,0.054174500809307524,0.15772275367297023,12.0,
0000288,rule_2,compliant,worker,7,0.06755552408745215,0.1838134293487639,9.0,
0000325,rule_4,compliant,excavator,9,0.08882296966309139,0.20811923021068887,5.0,
0000327,rule_4,struck_by_risk,excavator,9,0.0714146690956117,0.18213726389929072,3.0,
0000331,rule_4,struck_by_risk,excavator,9,0.05311589905374339,0.15737180315575464,18.0,
0000332,rule_2,fall_hazard,worker,7,0.10301755250586406,0.25125690310987614,9.0,
0000341,rule_3,compliant,guardrail,8,0.11165243381111364,0.27124401598202025,6.0,
0000361,rule_3,fall_hazard,,0,,,,grid_fallback_no_box
0000370,rule_3,fall_hazard,guardrail,8,0.11458313521904218,0.2835666193151297,3.0,
0000376,rule_3,fall_hazard,guardrail,8,0.09793596795440662,0.25534055097155867,4.0,
0000413,rule_2,compliant,safety harness,8,0.08389077999809962,0.22953169301565074,5.0,
0000421,rule_3,fall_hazard,guardrail,8,0.10040855562366251,0.26756538809550234,3.0,
0000433,rule_4,compliant,excavator,9,0.24140686708575254,0.3381844619073879,1.0,
0000437,rule_1,ppe_violation,worker,7,0.12687325027110424,0.2903255096103595,10.0,
0000444,rule_2,compliant,safety harness,8,0.048057287896961294,0.13185407103392177,8.0,
0000468,rule_3,fall_hazard,guardrail,8,0.11392522164032752,0.26231553716312445,3.0,
0000469,rule_1,ppe_violation,worker,7,0.06944343046752667,0.1867977449015587,7.0,
0000471,rule_4,compliant,excavator,9,0.043630092915524235,0.13974430141089958,36.0,
0000478,rule_3,fall_hazard,guardrail,8,0.08562065104826015,0.23679733472875436,8.0,
0000486,rule_4,compliant,worker,7,0.05754134940590533,0.1709868453249372,16.0,
0000490,rule_4,struck_by_risk,excavator,9,0.07308968173356412,0.18233767824226943,7.0,
0000503,rule_3,compliant,worker,7,0.07028918480260347,0.18235767205789244,9.0,
0000514,rule_1,compliant,worker,7,0.07536544551091766,0.19756393816498025,9.0,
0000530,rule_4,compliant,excavator,9,0.09286695662018794,0.2281395709926479,6.0,
0000545,rule_1,ppe_violation,worker,7,0.0746058915825731,0.19440815874295997,3.0,
0000550,rule_3,fall_hazard,guardrail,8,0.11147128180592032,0.28491272765352205,7.0,
0000551,rule_4,compliant,excavator,9,0.1037854994432854,0.27148697973830765,9.0,
0000559,rule_4,compliant,excavator,9,0.06080286735726215,0.16247161026663828,7.0,
0000568,rule_1,compliant,worker,7,0.09792261764026124,0.25866662015283204,9.0,
0000606,rule_3,fall_hazard,guardrail,8,0.06729670937774442,0.19345321631258408,15.0,
0000613,rule_4,compliant,excavator,9,0.08401508914716725,0.19993990506662368,5.0,
0000620,rule_2,compliant,,0,,,,grid_fallback_no_box
0000623,rule_1,ppe_violation,worker,7,0.10089066491059885,0.22130951991401143,2.0,
0000625,rule_3,compliant,guardrail,8,0.11347748198435148,0.23770086917966587,3.0,
0000626,rule_3,fall_hazard,guardrail,8,0.11039938988017692,0.2433509745778308,5.0,
0000632,rule_3,compliant,guardrail,8,0.09584777195784427,0.26533135638596034,3.0,
0000641,rule_1,ppe_violation,worker,7,0.11515064351720157,0.2745330904259738,1.0,
0000642,rule_2,compliant,worker,7,0.10044476508010762,0.22909988696477943,5.0,
0000745,rule_3,compliant,guardrail,8,0.05428495365392863,0.15080422655528747,12.0,
0000755,rule_1,compliant,worker,7,0.1798159474936317,0.3708536317351536,10.0,
0000760,rule_1,compliant,worker,7,0.07027866808803086,0.17240437574745174,4.0,
0000766,rule_1,ppe_violation,worker,7,0.12218618841239558,0.23746875388986644,4.0,
0000798,rule_3,compliant,guardrail,8,0.1045115016374083,0.2690142965268564,6.0,
0000804,rule_1,compliant,hard hat,8,0.18148508105161462,0.338149119655265,3.0,
0000874,rule_2,fall_hazard,worker,7,0.10749750605165438,0.21503102159740353,2.0,
0000878,rule_4,struck_by_risk,excavator,13,0.038008182751602594,0.1254943341864744,33.0,
0000879,rule_1,compliant,worker,7,0.1090326826749131,0.24506606051164956,5.0,
0000886,rule_2,compliant,worker,7,0.09785001424483529,0.2170959579019091,5.0,
0000888,rule_4,compliant,worker,7,0.08992390213105238,0.26632973473316024,11.0,
0000889,rule_4,compliant,excavator,9,0.08413108055404928,0.1635644379873596,4.0,
0000895,rule_3,fall_hazard,guardrail,8,0.07285933427789018,0.22128721027815926,17.0,
0000904,rule_2,compliant,safety harness,8,0.2865730992055821,0.44301571547819896,1.0,
0000905,rule_3,compliant,guardrail,8,0.06618425535786485,0.1659444469028944,2.0,
0000923,rule_2,compliant,safety harness,14,0.1229753204316885,0.26212486287958864,3.0,
0000925,rule_2,fall_hazard,worker,7,0.10660181154462399,0.25351896825886516,6.0,
0000936,rule_4,compliant,excavator,9,0.1036409087023707,0.3209720779329695,20.0,
0000940,rule_3,compliant,guardrail,8,0.08635570152697233,0.21907391963860837,6.0,
0000959,rule_2,compliant,safety harness,8,0.07042750850240653,0.21000550492727513,12.0,
0000991,rule_3,fall_hazard,guardrail,8,0.11216109738671227,0.27784991557498634,2.0,
0000993,rule_2,fall_hazard,worker,7,0.22483597591907173,0.3336719862603547,3.0,
0001014,rule_3,compliant,worker,7,0.08377252926616725,0.19946769524282038,5.0,
0001033,rule_4,struck_by_risk,excavator,9,0.06738266182967487,0.20109927536084732,18.0,
0001071,rule_3,fall_hazard,guardrail,8,0.11119510751467987,0.2716791098344344,6.0,
0001077,rule_1,ppe_violation,worker,7,0.13798767701233214,0.29244255240091904,3.0,
0001081,rule_3,fall_hazard,guardrail,8,0.09075975240289472,0.2275630467931132,5.0,
0001117,rule_1,ppe_violation,worker,7,0.17039839421732866,0.3358048862516637,4.0,
0001151,rule_1,ppe_violation,worker,13,0.09059938871028127,0.20374901400867512,4.0,
0001194,rule_3,fall_hazard,worker,7,0.1107583003433092,0.27961421595978214,8.0,
0001229,rule_3,fall_hazard,,0,,,,grid_fallback_no_box
0001274,rule_3,fall_hazard,guardrail,8,0.0947191525406333,0.2679987650718955,11.0,
0001325,rule_4,struck_by_risk,excavator,9,0.06308805986612476,0.17317421927553064,14.0,
0001431,rule_1,ppe_violation,worker,7,0.14409214130260078,0.27887373067598314,2.0,
0001436,rule_3,fall_hazard,guardrail,8,0.14737471543709293,0.3315377132867126,7.0,
0001460,rule_1,ppe_violation,worker,7,0.11434301352666708,0.2674301910553594,8.0,
0001470,rule_1,ppe_violation,worker,7,0.11734318342720958,0.2588204598426487,3.0,
0001484,rule_3,fall_hazard,guardrail,8,0.09236057269982038,0.22823750819161392,5.0,
0001512,rule_4,struck_by_risk,excavator,9,0.06916573888061492,0.17759926772561435,8.0,
0001520,rule_3,fall_hazard,guardrail,12,0.08705614314504187,0.21582693832092903,1.0,
0001530,rule_2,fall_hazard,worker,7,0.0901370188721998,0.2340330584175514,4.0,
0001597,rule_3,fall_hazard,guardrail,8,0.08298945953307668,0.24828993882047282,20.0,
0001623,rule_3,fall_hazard,guardrail,8,0.05983026179553439,0.1943457964408131,19.0,
0001667,rule_3,fall_hazard,guardrail,8,0.09678966776838685,0.26646416356566927,7.0,
0001699,rule_2,fall_hazard,worker,7,0.10560660468745109,0.24589069779337452,5.0,
0001798,rule_3,fall_hazard,guardrail,8,0.11221419505647198,0.2714503925126296,4.0,
0001804,rule_1,ppe_violation,worker,7,0.08856260479007345,0.22883873548946712,3.0,
0001842,rule_1,ppe_violation,worker,7,0.1639671524053898,0.28970243079033026,3.0,
0001981,rule_3,fall_hazard,guardrail,8,0.16931764954762485,0.294419167908143,2.0,
0001982,rule_1,ppe_violation,worker,7,0.11782903444452694,0.26842044431581163,3.0,
0001986,rule_1,ppe_violation,worker,7,0.10573249424156637,0.19981984065865466,4.0,
0001989,rule_3,fall_hazard,guardrail,8,0.08640550125247715,0.25896940655456707,17.0,
0002042,rule_4,struck_by_risk,excavator,9,0.04791634839607506,0.1485361991252103,17.0,
0002092,rule_2,fall_hazard,safety harness,8,0.14598147128720398,0.2997423455747068,3.0,
0002150,rule_3,fall_hazard,guardrail,8,0.08629172093610782,0.23388991871241613,8.0,
0002153,rule_1,ppe_violation,worker,7,0.07226925282526543,0.2036269192106177,14.0,
0002158,rule_2,fall_hazard,worker,7,0.1621259452783091,0.3059799163666451,4.0,
0002178,rule_3,fall_hazard,guardrail,8,0.12356837616981504,0.3101965310136573,7.0,
0002211,rule_1,ppe_violation,worker,7,0.16928724605817258,0.34151268873071566,3.0,
0002260,rule_1,ppe_violation,worker,7,0.28335445394372216,0.41307033564395734,2.0,
0002262,rule_1,ppe_violation,worker,7,0.1360595478516565,0.2987536699240064,3.0,
0002291,rule_1,ppe_violation,worker,7,0.1636554551390255,0.3724637336438435,5.0,
0002348,rule_1,ppe_violation,worker,7,0.09039974749659599,0.24375507705590121,8.0,
0002446,rule_4,struck_by_risk,excavator,9,0.08949581241113355,0.22410281239493524,9.0,
